"loss","profit","macd_level","target_stability","balance"
"0.009","0.01","0.2","0","248.0"
"0.009","0.01","0.2","1","457.0"
"0.009","0.01","0.2","2","457.0"
"0.009","0.01","0.2","3","457.0"
"0.009","0.01","0.2","4","457.0"
"0.009","0.01","0.2","6","457.0"
"0.009","0.01","0.25","0","158.0"
"0.009","0.01","0.25","1","367.0"
"0.009","0.01","0.25","2","367.0"
"0.009","0.01","0.25","3","367.0"
"0.009","0.01","0.25","4","367.0"
"0.009","0.01","0.25","6","367.0"
"0.009","0.01","0.3","0","158.0"
"0.009","0.01","0.3","1","367.0"
"0.009","0.01","0.3","2","367.0"
"0.009","0.01","0.3","3","367.0"
"0.009","0.01","0.3","4","367.0"
"0.009","0.01","0.3","6","367.0"
"0.009","0.01","0.35","0","120.0"
"0.009","0.01","0.35","1","329.0"
"0.009","0.01","0.35","2","329.0"
"0.009","0.01","0.35","3","329.0"
"0.009","0.01","0.35","4","329.0"
"0.009","0.01","0.35","6","329.0"
"0.009","0.01","0.4","0","195.0"
"0.009","0.01","0.4","1","-94.0"
"0.009","0.01","0.4","2","-94.0"
"0.009","0.01","0.4","3","-94.0"
"0.009","0.01","0.4","4","-94.0"
"0.009","0.01","0.4","6","-94.0"
"0.009","0.01","0.45","0","133.0"
"0.009","0.01","0.45","1","-94.0"
"0.009","0.01","0.45","2","-94.0"
"0.009","0.01","0.45","3","-94.0"
"0.009","0.01","0.45","4","-94.0"
"0.009","0.01","0.45","6","-94.0"
"0.009","0.01","0.5","0","-17.0"
"0.009","0.01","0.5","1","-244.0"
"0.009","0.01","0.5","2","-244.0"
"0.009","0.01","0.5","3","-244.0"
"0.009","0.01","0.5","4","-244.0"
"0.009","0.01","0.5","6","-244.0"
"0.01","0.01","0.05","0","590.0"
"0.01","0.01","0.05","1","411.0"
"0.01","0.01","0.05","2","411.0"
"0.01","0.01","0.05","3","411.0"
"0.01","0.01","0.05","4","411.0"
"0.01","0.01","0.05","6","411.0"
"0.01","0.01","0.1","0","798.0"
"0.01","0.01","0.1","1","495.0"
"0.01","0.01","0.1","2","495.0"
"0.01","0.01","0.1","3","495.0"
"0.01","0.01","0.1","4","495.0"
"0.01","0.01","0.1","6","495.0"
"0.01","0.01","0.15","0","798.0"
"0.01","0.01","0.15","1","495.0"
"0.01","0.01","0.15","2","495.0"
"0.01","0.01","0.15","3","495.0"
"0.01","0.01","0.15","4","495.0"
"0.01","0.01","0.15","6","495.0"
"0.01","0.01","0.2","0","646.0"
"0.01","0.01","0.2","1","343.0"
"0.01","0.01","0.2","2","343.0"
"0.01","0.01","0.2","3","343.0"
"0.01","0.01","0.2","4","343.0"
"0.01","0.01","0.2","6","343.0"
"0.01","0.01","0.25","0","556.0"
"0.01","0.01","0.25","1","253.0"
"0.01","0.01","0.25","2","253.0"
"0.01","0.01","0.25","3","253.0"
"0.01","0.01","0.25","4","253.0"
"0.01","0.01","0.25","6","253.0"
"0.01","0.01","0.3","0","556.0"
"0.01","0.01","0.3","1","253.0"
"0.01","0.01","0.3","2","253.0"
"0.01","0.01","0.3","3","253.0"
"0.01","0.01","0.3","4","253.0"
"0.01","0.01","0.3","6","253.0"
"0.01","0.01","0.35","0","518.0"
"0.01","0.01","0.35","1","215.0"
"0.01","0.01","0.35","2","215.0"
"0.01","0.01","0.35","3","215.0"
"0.01","0.01","0.35","4","215.0"
"0.01","0.01","0.35","6","215.0"
"0.01","0.01","0.4","0","593.0"
"0.01","0.01","0.4","1","-208.0"
"0.01","0.01","0.4","2","-208.0"
"0.01","0.01","0.4","3","-208.0"
"0.01","0.01","0.4","4","-208.0"
"0.01","0.01","0.4","6","-208.0"
"0.01","0.01","0.45","0","19.0"
"0.01","0.01","0.45","1","-208.0"
"0.01","0.01","0.45","2","-208.0"
"0.01","0.01","0.45","3","-208.0"
"0.01","0.01","0.45","4","-208.0"
"0.01","0.01","0.45","6","-208.0"
"0.01","0.01","0.5","0","-131.0"
